c1	c2	c3	c4	c5	c6	c7	c8
gene4115	gene4640	gene5433	gene7734	gene6302	gene11520	gene5669	gene5357
gene4120	gene4642	gene5446	gene7745	gene6314	gene11521	gene5682	gene5364
gene4124	gene4645	gene5475	gene7818	gene6331	gene11537	gene5696	gene5382
gene4133	gene4671	gene5511	gene7838	gene6333	gene11546	gene5697	gene5390
gene4136	gene4676	gene5512	gene7848	gene6360	gene11570	gene5702	gene5402
gene4137	gene4682	gene5513	gene7853	gene6374	gene11573	gene5725	gene5441
gene4145	gene4688	gene5521	gene7885	gene6390	gene11593	gene5737	gene5443
gene4155	gene4692	gene5541	gene7893	gene6414	gene11598	gene5739	gene5444
gene4162	gene4708	gene5546	gene7902	gene6438	gene11601	gene5748	gene5446
gene4163	gene4729	gene5553	gene7912	gene6446	gene11634	gene5763	gene5466
gene4170	gene4734	gene5577	gene7958	gene6450	gene11640	gene5775	gene5467
gene4171	gene4736	gene5585	gene7967	gene6516	gene11645	gene5807	gene5475
gene4174	gene4783	gene5606	gene7978	gene6534	gene11710	gene5810	gene5512
gene4175	gene4799	gene5629	gene7996	gene6544	gene11719	gene5813	gene5517
gene4176	gene4806	gene5640	gene7997	gene6573	gene11737	gene5821	gene5533
gene4177	gene4811	gene5641	gene8016	gene6590	gene11753	gene5830	gene5546
gene4178	gene4833	gene5644	gene8022	gene6609	gene11759	gene5832	gene5553
gene4179	gene4845	gene5666	gene8049	gene6619	gene11834	gene5848	gene5558
gene4182	gene4850	gene5669	gene8063	gene6638	gene11840	gene5856	gene5594
gene4189	gene4853	gene5682	gene8074	gene6643	gene11845	gene5857	gene5595
gene4190	gene4859	gene5689	gene8076	gene6650	gene11936	gene5859	gene5597
gene4197	gene4860	gene5702	gene8091	gene6679	gene11960	gene5869	gene5600
gene4211	gene4895	gene5720	gene8116	gene6687	gene11971	gene5876	gene5606
gene4218	gene4902	gene5744	gene8215	gene6725	gene11981	gene5877	gene5617
gene4223	gene4909	gene5765	gene8219	gene6821	gene11997	gene5878	gene5629
gene4229	gene4912	gene5775	gene8234	gene6828	gene12011	gene5881	gene5647
gene4230	gene4913	gene5779	gene8252	gene6863	gene12017	gene5888	gene5650
gene4234	gene4922	gene5810	gene8256	gene6893	gene12022	gene5897	gene5680
gene4238	gene4923	gene5813	gene8259	gene6929	gene12027	gene5911	gene5682
gene4240	gene4926	gene5830	gene8264	gene6943	gene12035	gene5921	gene5691
gene4243	gene4941	gene5856	gene8285	gene6957	gene12042	gene5934	gene5695
gene4253	gene4945	gene5869	gene8303	gene6965	gene12082	gene5943	gene5702
gene4255	gene4963	gene5876	gene8315	gene6981	gene12094	gene5954	gene5720
gene4265	gene4967	gene5884	gene8324	gene7013	gene12105	gene5964	gene5745
gene4271	gene4970	gene5934	gene8342	gene7020	gene12131	gene5974	gene5748
gene4276	gene4989	gene5953	gene8348	gene7030	gene12166	gene5992	gene5810
gene4280	gene4998	gene5954	gene8442	gene7060	gene12206	gene5998	gene5823
gene4288	gene4999	gene5956	gene8461	gene7064	gene12217	gene6000	gene5856
gene4292	gene5007	gene5964	gene8480	gene7089	gene12218	gene6003	gene5863
gene4297	gene5017	gene5980	gene8487	gene7096	gene12226	gene6022	gene5875
gene4298	gene5020	gene5992	gene8510	gene7124	gene12231	gene6029	gene5891
gene4303	gene5028	gene5998	gene8531	gene7148	gene12268	gene6048	gene5928
gene4310	gene5029	gene6000	gene8560	gene7158	gene12271	gene6049	gene5933
gene4311	gene5036	gene6002	gene8583	gene7172	gene12284	gene6065	gene5934
gene4321	gene5039	gene6017	gene8630	gene7187	gene12295	gene6094	gene5954
gene4347	gene5043	gene6029	gene8638	gene7191	gene12356	gene6097	gene5964
gene4370	gene5063	gene6047	gene8641	gene7217	gene12370	gene6130	gene5974
gene4374	gene5077	gene6049	gene8697	gene7243	gene12376	gene6145	gene5992
gene4381	gene5088	gene6052	gene8720	gene7266	gene12396	gene6151	gene5998
gene4383	gene5093	gene6063	gene8780	gene7287	gene12404	gene6159	gene6000
gene4385	gene5097	gene6064	gene8834	gene7288	gene12411	gene6164	gene6029
gene4387	gene5116	gene6065	gene8840	gene7294	gene12414	gene6174	gene6040
gene4388	gene5137	gene6097	gene8846	gene7305	gene12429	gene6195	gene6049
gene4392	gene5147	gene6107	gene8887	gene7326	gene12446	gene6196	gene6052
gene4393	gene5149	gene6151	gene8892	gene7341	gene12477	gene6211	gene6063
gene4411	gene5156	gene6152	gene8893	gene7348	gene12480	gene6214	gene6064
gene4417	gene5161	gene6177	gene8909	gene7350	gene12489	gene6230	gene6065
gene4420	gene5162	gene6180	gene8917	gene7368	gene12513	gene6237	gene6067
gene4428	gene5171	gene6186	gene8945	gene7369	gene12534	gene6256	gene6069
gene4430	gene5174	gene6191	gene8960	gene7378	gene12547	gene6263	gene6093
gene4434	gene5181	gene6192	gene8969	gene7394	gene12551	gene6278	gene6097
gene4436	gene5192	gene6211	gene8974	gene7401	gene12619	gene6281	gene6111
gene4440	gene5206	gene6215	gene8975	gene7422	gene12652	gene6284	gene6151
gene4450	gene5207	gene6245	gene9032	gene7423	gene12677	gene6291	gene6193
gene4468	gene5212	gene6254	gene9048	gene7424	gene12707	gene6319	gene6206
gene4480	gene5215	gene6263	gene9074	gene7425	gene12736	gene6331	gene6211
gene4481	gene5218	gene6281	gene9075	gene7473	gene12738	gene6333	gene6231
gene4490	gene5221	gene6291	gene9090	gene7494	gene12743	gene6349	gene6235
gene4492	gene5239	gene6302	gene9113	gene7551	gene12746	gene6360	gene6237
gene4496	gene5270	gene6309	gene9143	gene7558	gene12757	gene6370	gene6261
gene4498	gene5277	gene6323	gene9158	gene7594	gene12769	gene6371	gene6263
gene4511	gene5300	gene6331	gene9159	gene7601	gene12822	gene6374	gene6281
gene4512	gene5302	gene6333	gene9160	gene7617	gene12851	gene6392	gene6291
gene4552	gene5314	gene6335	gene9164	gene7636	gene12873	gene6407	gene6309
gene4567	gene5315	gene6360	gene9196	gene7667	gene12885	gene6446	gene6325
gene4578	gene5318	gene6361	gene9208	gene7674		gene6447	gene6331
gene4580	gene5321	gene6371	gene9237	gene7692		gene6450	gene6333
gene4586	gene5328	gene6374	gene9239	gene7734		gene6468	gene6360
gene4588	gene5335	gene6375	gene9287	gene7768		gene6496	gene6370
gene4589	gene5339	gene6376	gene9288	gene7845		gene6534	gene6374
gene4595	gene5346	gene6406	gene9321	gene7853		gene6537	gene6419
gene4609	gene5349	gene6407	gene9327	gene7885		gene6544	gene6429
gene4611	gene5357	gene6446	gene9331	gene7893		gene6550	gene6446
gene4615	gene5367	gene6450	gene9364	gene7902		gene6552	gene6448
gene4619	gene5371	gene6474	gene9366	gene7912		gene6563	gene6450
gene4629	gene5382	gene6475	gene9382	gene7978		gene6578	gene6475
gene4661	gene5385	gene6516	gene9398	gene7997		gene6585	gene6496
gene4662	gene5390	gene6534	gene9422	gene8005		gene6660	gene6516
gene4676	gene5400	gene6537	gene9461	gene8016		gene6666	gene6534
gene4677	gene5419	gene6544	gene9482	gene8017		gene6674	gene6544
gene4693	gene5443	gene6550	gene9483	gene8022		gene6679	gene6569
gene4700	gene5446	gene6605	gene9485	gene8048		gene6687	gene6586
gene4714	gene5453	gene6610	gene9583	gene8049		gene6725	gene6599
gene4724	gene5454	gene6661	gene9596	gene8053		gene6743	gene6601
gene4726	gene5467	gene6664	gene9602	gene8059		gene6770	gene6616
gene4727	gene5468	gene6667	gene9613	gene8074		gene6813	gene6625
gene4729	gene5475	gene6671	gene9614	gene8076		gene6821	gene6659
gene4736	gene5486	gene6679	gene9628	gene8103		gene6826	gene6667
gene4739	gene5503	gene6687	gene9629	gene8197		gene6837	gene6671
gene4756	gene5511	gene6689	gene9695	gene8215		gene6865	gene6672
gene4768	gene5512	gene6709	gene9697	gene8219		gene6870	gene6679
gene4783	gene5531	gene6725	gene9717	gene8236		gene6874	gene6687
gene4788	gene5546	gene6795	gene9744	gene8252		gene6876	gene6720
gene4801	gene5556	gene6821	gene9762	gene8259		gene6887	gene6725
gene4806	gene5577	gene6825	gene9777	gene8264		gene6898	gene6740
gene4807	gene5583	gene6866	gene9810	gene8283		gene6908	gene6813
gene4808	gene5585	gene6870	gene9825	gene8285		gene6920	gene6834
gene4822	gene5593	gene6874	gene9845	gene8317		gene6924	gene6850
gene4823	gene5599	gene6876	gene9857	gene8322		gene6929	gene6870
gene4847	gene5602	gene6916	gene9891	gene8324		gene6965	gene6875
gene4849	gene5605	gene6944	gene9907	gene8348		gene6981	gene6879
gene4853	gene5649	gene6974	gene9921	gene8353		gene6987	gene6887
gene4855	gene5651	gene6981	gene9978	gene8368		gene7020	gene6919
gene4856	gene5657	gene6992	gene10029	gene8391		gene7030	gene6929
gene4878	gene5669	gene7005	gene10033	gene8442		gene7035	gene6943
gene4895	gene5682	gene7020	gene10050	gene8480		gene7060	gene6981
gene4921	gene5695	gene7030	gene10055	gene8487		gene7096	gene6992
gene4923	gene5702	gene7055	gene10103	gene8500		gene7103	gene7020
gene4943	gene5706	gene7060	gene10107	gene8508		gene7124	gene7030
gene4948	gene5709	gene7085	gene10154	gene8531		gene7130	gene7064
gene4960	gene5720	gene7136	gene10158	gene8538		gene7146	gene7077
gene4967	gene5725	gene7148	gene10206	gene8580		gene7154	gene7124
gene4980	gene5748	gene7149	gene10231	gene8582		gene7175	gene7146
gene4989	gene5810	gene7154	gene10245	gene8630		gene7191	gene7148
gene4994	gene5811	gene7166	gene10276	gene8638		gene7217	gene7149
gene4999	gene5813	gene7191	gene10298	gene8641		gene7219	gene7154
gene5026	gene5823	gene7217	gene10301	gene8656		gene7240	gene7168
gene5029	gene5833	gene7224	gene10309	gene8668		gene7254	gene7173
gene5045	gene5837	gene7262	gene10314	gene8778		gene7263	gene7191
gene5046	gene5856	gene7266	gene10324	gene8788		gene7273	gene7216
gene5056	gene5877	gene7288	gene10346	gene8791		gene7287	gene7217
gene5084	gene5881	gene7300	gene10356	gene8827		gene7300	gene7243
gene5092	gene5885	gene7305	gene10368	gene8834		gene7313	gene7266
gene5096	gene5891	gene7309	gene10395	gene8840		gene7324	gene7287
gene5120	gene5922	gene7324	gene10406	gene8849		gene7326	gene7288
gene5137	gene5931	gene7327	gene10411	gene8861		gene7346	gene7300
gene5147	gene5932	gene7330	gene10416	gene8866		gene7349	gene7316
gene5156	gene5934	gene7335	gene10424	gene8892		gene7350	gene7321
gene5171	gene5937	gene7341	gene10436	gene8893		gene7361	gene7324
gene5172	gene5950	gene7355	gene10448	gene8897		gene7368	gene7329
gene5179	gene5954	gene7368	gene10452	gene8898		gene7378	gene7366
gene5200	gene5964	gene7393	gene10463	gene8909		gene7382	gene7368
gene5218	gene5974	gene7394	gene10494	gene8939		gene7387	gene7387
gene5227	gene5985	gene7401	gene10500	gene8945		gene7394	gene7394
gene5246	gene5992	gene7419	gene10520	gene8974		gene7422	gene7457
gene5251	gene5998	gene7420	gene10524	gene9010		gene7452	gene7477
gene5267	gene6000	gene7427	gene10550	gene9032		gene7461	gene7521
gene5270	gene6008	gene7452	gene10628	gene9048		gene7511	gene7536
gene5276	gene6009	gene7473	gene10636	gene9061		gene7521	gene7537
gene5282	gene6010	gene7479	gene10640	gene9075		gene7594	gene7539
gene5298	gene6013	gene7494	gene10642	gene9078		gene7601	gene7570
gene5300	gene6017	gene7522	gene10664	gene9083		gene7604	gene7578
gene5309	gene6018	gene7539	gene10669	gene9090		gene7655	gene7588
gene5334	gene6029	gene7546	gene10670	gene9120		gene7657	gene7590
gene5335	gene6041	gene7594	gene10684	gene9158		gene7676	gene7594
gene5349	gene6046	gene7627	gene10692	gene9160		gene7691	gene7611
gene5366	gene6049	gene7635	gene10693	gene9164		gene7724	gene7622
gene5375	gene6052	gene7667	gene10723	gene9189		gene7730	gene7644
gene5382	gene6063	gene7670	gene10767	gene9196		gene7742	gene7674
gene5386	gene6064	gene7687	gene10782	gene9237		gene7760	gene7711
gene5396	gene6065	gene7704	gene10818	gene9284		gene7762	gene7733
gene5400	gene6074	gene7724	gene10850	gene9287		gene7805	gene7734
gene5419	gene6075	gene7734	gene10878	gene9288		gene7838	gene7751
gene5420	gene6084	gene7768	gene10882	gene9321		gene7893	gene7755
gene5427	gene6097	gene7843	gene10904	gene9325		gene7902	gene7771
gene5440	gene6100	gene7853	gene10911	gene9345		gene7912	gene7805
gene5443	gene6101	gene7893	gene10920	gene9366		gene7943	gene7853
gene5444	gene6127	gene7902	gene10952	gene9377		gene7978	gene7893
gene5446	gene6128	gene7912	gene10965	gene9382		gene7997	gene7902
gene5450	gene6151	gene7921	gene11000	gene9398		gene8005	gene7912
gene5459	gene6152	gene7939	gene11024	gene9404		gene8017	gene7939
gene5466	gene6154	gene7975	gene11030	gene9406		gene8020	gene7958
gene5475	gene6192	gene7978	gene11053	gene9463		gene8022	gene7978
gene5507	gene6196	gene7997	gene11080	gene9466		gene8030	gene7996
gene5512	gene6211	gene8005	gene11146	gene9475		gene8049	gene7997
gene5524	gene6232	gene8009	gene11147	gene9493		gene8074	gene8017
gene5525	gene6237	gene8016	gene11152	gene9515		gene8076	gene8022
gene5536	gene6241	gene8017	gene11184	gene9574		gene8080	gene8037
gene5546	gene6263	gene8022	gene11199	gene9583		gene8099	gene8049
gene5553	gene6264	gene8031	gene11208	gene9628		gene8102	gene8070
gene5576	gene6267	gene8047	gene11212	gene9656		gene8142	gene8076
gene5579	gene6281	gene8048	gene11291	gene9704		gene8184	gene8095
gene5580	gene6291	gene8049	gene11303	gene9744		gene8191	gene8119
gene5606	gene6309	gene8070	gene11308	gene9760		gene8215	gene8139
gene5669	gene6328	gene8074	gene11356	gene9762		gene8219	gene8187
gene5682	gene6331	gene8076	gene11380	gene9797		gene8232	gene8191
gene5695	gene6333	gene8185	gene11395	gene9817		gene8252	gene8197
gene5696	gene6343	gene8215	gene11411	gene9818		gene8259	gene8215
gene5702	gene6360	gene8219	gene11417	gene9845		gene8264	gene8219
gene5706	gene6374	gene8252	gene11440	gene9891		gene8285	gene8259
gene5709	gene6384	gene8257	gene11456	gene9907		gene8293	gene8264
gene5720	gene6385	gene8259	gene11466	gene9921		gene8303	gene8285
gene5726	gene6390	gene8264	gene11502	gene9978		gene8324	gene8292
gene5737	gene6404	gene8276	gene11511	gene10055		gene8348	gene8324
gene5754	gene6442	gene8285	gene11515	gene10107		gene8383	gene8348
gene5775	gene6443	gene8297	gene11516	gene10206		gene8411	gene8376
gene5805	gene6446	gene8303	gene11520	gene10231		gene8442	gene8421
gene5810	gene6447	gene8315	gene11521	gene10250		gene8470	gene8442
gene5811	gene6450	gene8324	gene11526	gene10276		gene8474	gene8474
gene5813	gene6482	gene8334	gene11537	gene10285		gene8487	gene8487
gene5823	gene6486	gene8337	gene11552	gene10314		gene8523	gene8491
gene5830	gene6516	gene8348	gene11570	gene10319		gene8531	gene8531
gene5831	gene6534	gene8442	gene11573	gene10356		gene8536	gene8556
gene5851	gene6544	gene8480	gene11580	gene10381		gene8538	gene8560
gene5856	gene6556	gene8487	gene11593	gene10395		gene8580	gene8565
gene5857	gene6590	gene8508	gene11601	gene10416		gene8630	gene8568
gene5863	gene6614	gene8531	gene11609	gene10436		gene8638	gene8576
gene5876	gene6632	gene8563	gene11628	gene10448		gene8641	gene8630
gene5881	gene6669	gene8615	gene11640	gene10452		gene8649	gene8638
gene5885	gene6671	gene8630	gene11645	gene10500		gene8672	gene8641
gene5934	gene6687	gene8638	gene11695	gene10520		gene8749	gene8672
gene5950	gene6721	gene8641	gene11719	gene10529		gene8773	gene8716
gene5954	gene6725	gene8656	gene11753	gene10550		gene8778	gene8732
gene5955	gene6762	gene8672	gene11759	gene10568		gene8780	gene8767
gene5964	gene6778	gene8706	gene11804	gene10577		gene8791	gene8778
gene5992	gene6784	gene8713	gene11834	gene10636		gene8801	gene8791
gene5998	gene6787	gene8771	gene11840	gene10684		gene8849	gene8801
gene6000	gene6797	gene8778	gene11845	gene10692		gene8851	gene8805
gene6009	gene6812	gene8780	gene11955	gene10693		gene8874	gene8849
gene6022	gene6837	gene8782	gene11958	gene10695		gene8892	gene8866
gene6029	gene6840	gene8849	gene11981	gene10705		gene8893	gene8872
gene6046	gene6864	gene8863	gene11997	gene10707		gene8909	gene8879
gene6052	gene6873	gene8879	gene12011	gene10723		gene8946	gene8892
gene6063	gene6887	gene8892	gene12022	gene10766		gene8974	gene8893
gene6065	gene6905	gene8893	gene12035	gene10767		gene8984	gene8909
gene6090	gene6924	gene8896	gene12042	gene10782		gene9010	gene8918
gene6097	gene6929	gene8909	gene12052	gene10818		gene9013	gene8939
gene6127	gene6940	gene8939	gene12081	gene10828		gene9025	gene8941
gene6136	gene6943	gene8945	gene12094	gene10850		gene9032	gene8946
gene6151	gene6959	gene8946	gene12105	gene10911		gene9047	gene8960
gene6196	gene6973	gene8974	gene12118	gene10920		gene9116	gene8974
gene6203	gene6976	gene9032	gene12121	gene10952		gene9117	gene9005
gene6211	gene6981	gene9048	gene12131	gene10965		gene9120	gene9032
gene6231	gene6991	gene9054	gene12206	gene11006		gene9153	gene9048
gene6263	gene7003	gene9081	gene12217	gene11026		gene9158	gene9074
gene6277	gene7015	gene9112	gene12226	gene11053		gene9160	gene9075
gene6281	gene7018	gene9120	gene12285	gene11080		gene9164	gene9084
gene6291	gene7020	gene9153	gene12296	gene11135		gene9196	gene9121
gene6302	gene7023	gene9158	gene12306	gene11139		gene9208	gene9158
gene6309	gene7030	gene9159	gene12356	gene11147		gene9237	gene9159
gene6331	gene7064	gene9160	gene12370	gene11152		gene9272	gene9160
gene6333	gene7069	gene9164	gene12376	gene11208		gene9282	gene9164
gene6354	gene7096	gene9196	gene12396	gene11291		gene9287	gene9196
gene6356	gene7121	gene9237	gene12411	gene11380		gene9288	gene9201
gene6360	gene7124	gene9287	gene12414	gene11395		gene9304	gene9221
gene6382	gene7153	gene9288	gene12429	gene11411		gene9321	gene9232
gene6385	gene7178	gene9321	gene12441	gene11417		gene9345	gene9237
gene6422	gene7191	gene9327	gene12446	gene11423		gene9354	gene9287
gene6428	gene7195	gene9354	gene12477	gene11456		gene9366	gene9310
gene6436	gene7217	gene9366	gene12489	gene11470		gene9382	gene9321
gene6438	gene7233	gene9382	gene12513	gene11472		gene9398	gene9339
gene6440	gene7240	gene9388	gene12534	gene11473		gene9407	gene9354
gene6446	gene7262	gene9398	gene12547	gene11482		gene9461	gene9359
gene6447	gene7266	gene9406	gene12619	gene11483		gene9466	gene9366
gene6450	gene7278	gene9461	gene12651	gene11502		gene9475	gene9382
gene6468	gene7300	gene9466	gene12652	gene11511		gene9499	gene9391
gene6470	gene7303	gene9475	gene12677	gene11520		gene9506	gene9398
gene6507	gene7309	gene9572	gene12707	gene11532		gene9557	gene9408
gene6534	gene7324	gene9583	gene12743	gene11537		gene9583	gene9438
gene6539	gene7326	gene9603	gene12745	gene11570		gene9626	gene9461
gene6544	gene7327	gene9613	gene12747	gene11572		gene9628	gene9466
gene6568	gene7341	gene9628	gene12754	gene11573		gene9643	gene9475
gene6605	gene7348	gene9651	gene12769	gene11578		gene9695	gene9491
gene6615	gene7355	gene9656	gene12783	gene11582		gene9699	gene9519
gene6660	gene7361	gene9694	gene12817	gene11593		gene9704	gene9524
gene6661	gene7368	gene9695	gene12822	gene11616		gene9716	gene9532
gene6671	gene7394	gene9716	gene12860	gene11640		gene9744	gene9533
gene6679	gene7397	gene9744	gene12873	gene11645		gene9754	gene9583
gene6687	gene7406	gene9762	gene12881	gene11737		gene9755	gene9614
gene6697	gene7437	gene9832	gene12886	gene11753		gene9766	gene9628
gene6702	gene7451	gene9837	gene12887	gene11759		gene9845	gene9704
gene6708	gene7452	gene9845		gene11783		gene9848	gene9716
gene6713	gene7454	gene9891		gene11834		gene9857	gene9719
gene6715	gene7463	gene9894		gene11840		gene9891	gene9744
gene6717	gene7476	gene9907		gene11845		gene9907	gene9754
gene6725	gene7494	gene9908		gene11850		gene9921	gene9760
gene6731	gene7495	gene9909		gene11976		gene9926	gene9761
gene6779	gene7511	gene9921		gene11997		gene9978	gene9762
gene6827	gene7522	gene9978		gene12011		gene9991	gene9845
gene6837	gene7550	gene10030		gene12020		gene10033	gene9857
gene6845	gene7560	gene10033		gene12022		gene10052	gene9866
gene6875	gene7568	gene10055		gene12035		gene10055	gene9877
gene6876	gene7583	gene10107		gene12042		gene10107	gene9891
gene6887	gene7594	gene10154		gene12052		gene10128	gene9907
gene6895	gene7604	gene10172		gene12082		gene10133	gene9921
gene6896	gene7613	gene10206		gene12089		gene10154	gene9950
gene6908	gene7625	gene10250		gene12094		gene10206	gene9978
gene6926	gene7658	gene10252		gene12105		gene10250	gene10006
gene6929	gene7670	gene10272		gene12115		gene10275	gene10018
gene6947	gene7684	gene10276		gene12137		gene10276	gene10031
gene6968	gene7691	gene10314		gene12193		gene10279	gene10033
gene6974	gene7712	gene10324		gene12206		gene10312	gene10055
gene6981	gene7734	gene10356		gene12217		gene10314	gene10071
gene6986	gene7742	gene10368		gene12226		gene10319	gene10107
gene6992	gene7763	gene10395		gene12255		gene10324	gene10154
gene7010	gene7792	gene10416		gene12268		gene10346	gene10206
gene7013	gene7831	gene10436		gene12285		gene10356	gene10276
gene7020	gene7838	gene10452		gene12306		gene10368	gene10301
gene7030	gene7853	gene10500		gene12349		gene10372	gene10312
gene7053	gene7873	gene10520		gene12356		gene10381	gene10314
gene7075	gene7878	gene10550		gene12370		gene10395	gene10319
gene7077	gene7879	gene10559		gene12376		gene10416	gene10346
gene7088	gene7885	gene10636		gene12396		gene10424	gene10356
gene7090	gene7892	gene10642		gene12404		gene10430	gene10364
gene7130	gene7893	gene10657		gene12429		gene10436	gene10368
gene7148	gene7902	gene10684		gene12446		gene10452	gene10372
gene7165	gene7912	gene10692		gene12477		gene10462	gene10381
gene7166	gene7939	gene10693		gene12489		gene10463	gene10386
gene7191	gene7944	gene10713		gene12534		gene10483	gene10395
gene7196	gene7958	gene10723		gene12547		gene10493	gene10405
gene7208	gene7978	gene10767		gene12583		gene10500	gene10406
gene7216	gene7983	gene10781		gene12619		gene10516	gene10424
gene7217	gene7996	gene10787		gene12652		gene10520	gene10430
gene7224	gene7997	gene10798		gene12677		gene10525	gene10434
gene7225	gene8005	gene10818		gene12689		gene10545	gene10436
gene7230	gene8017	gene10850		gene12707		gene10550	gene10452
gene7233	gene8049	gene10882		gene12743		gene10596	gene10455
gene7245	gene8074	gene10911		gene12769		gene10623	gene10469
gene7254	gene8076	gene10920		gene12786		gene10636	gene10494
gene7266	gene8086	gene10952		gene12873		gene10664	gene10500
gene7279	gene8095	gene10965		gene12885		gene10684	gene10520
gene7287	gene8105	gene11006		gene12887		gene10692	gene10529
gene7324	gene8129	gene11080				gene10693	gene10550
gene7336	gene8138	gene11147				gene10703	gene10553
gene7348	gene8149	gene11152				gene10723	gene10578
gene7353	gene8177	gene11199				gene10766	gene10597
gene7368	gene8190	gene11208				gene10767	gene10636
gene7378	gene8191	gene11257				gene10768	gene10678
gene7394	gene8197	gene11274				gene10793	gene10684
gene7401	gene8215	gene11291				gene10806	gene10692
gene7419	gene8219	gene11303				gene10818	gene10693
gene7420	gene8236	gene11340				gene10850	gene10703
gene7448	gene8252	gene11343				gene10856	gene10723
gene7494	gene8259	gene11380				gene10882	gene10729
gene7501	gene8264	gene11395				gene10886	gene10766
gene7527	gene8285	gene11408				gene10906	gene10767
gene7594	gene8297	gene11409				gene10908	gene10768
gene7603	gene8302	gene11411				gene10911	gene10818
gene7604	gene8303	gene11417				gene10920	gene10820
gene7627	gene8317	gene11456				gene10965	gene10828
gene7734	gene8324	gene11483				gene10984	gene10850
gene7750	gene8348	gene11508				gene11030	gene10894
gene7805	gene8355	gene11511				gene11067	gene10907
gene7823	gene8372	gene11516				gene11074	gene10911
gene7853	gene8406	gene11520				gene11080	gene10920
gene7893	gene8414	gene11537				gene11106	gene10965
gene7902	gene8442	gene11566				gene11132	gene11006
gene7912	gene8450	gene11570				gene11139	gene11038
gene7966	gene8487	gene11573				gene11147	gene11067
gene7975	gene8531	gene11593				gene11152	gene11080
gene7978	gene8538	gene11601				gene11175	gene11081
gene7996	gene8610	gene11614				gene11208	gene11147
gene7997	gene8630	gene11628				gene11274	gene11208
gene8000	gene8638	gene11638				gene11291	gene11257
gene8016	gene8641	gene11645				gene11303	gene11291
gene8017	gene8656	gene11690				gene11338	gene11312
gene8048	gene8684	gene11693				gene11380	gene11380
gene8049	gene8691	gene11695				gene11386	gene11386
gene8070	gene8706	gene11719				gene11388	gene11395
gene8074	gene8753	gene11738				gene11395	gene11411
gene8076	gene8773	gene11753				gene11407	gene11417
gene8106	gene8778	gene11754				gene11409	gene11418
gene8144	gene8780	gene11759				gene11411	gene11422
gene8182	gene8787	gene11773				gene11417	gene11423
gene8191	gene8788	gene11834				gene11423	gene11437
gene8215	gene8799	gene11840				gene11437	gene11456
gene8218	gene8849	gene11845				gene11456	gene11483
gene8219	gene8850	gene11907				gene11470	gene11488
gene8245	gene8881	gene11981				gene11483	gene11502
gene8252	gene8892	gene12011				gene11502	gene11507
gene8259	gene8893	gene12017				gene11508	gene11511
gene8264	gene8898	gene12035				gene11511	gene11520
gene8275	gene8909	gene12042				gene11520	gene11526
gene8285	gene8933	gene12052				gene11531	gene11531
gene8293	gene8940	gene12064				gene11537	gene11537
gene8303	gene8941	gene12094				gene11558	gene11570
gene8324	gene8960	gene12105				gene11560	gene11573
gene8329	gene8972	gene12115				gene11570	gene11593
gene8348	gene8974	gene12121				gene11573	gene11616
gene8349	gene9013	gene12160				gene11593	gene11628
gene8442	gene9032	gene12217				gene11601	gene11640
gene8474	gene9061	gene12226				gene11614	gene11645
gene8481	gene9117	gene12236				gene11617	gene11693
gene8487	gene9151	gene12260				gene11628	gene11695
gene8500	gene9153	gene12268				gene11645	gene11719
gene8531	gene9158	gene12272				gene11679	gene11737
gene8541	gene9159	gene12285				gene11710	gene11753
gene8568	gene9160	gene12302				gene11727	gene11759
gene8571	gene9164	gene12356				gene11737	gene11834
gene8630	gene9168	gene12370				gene11741	gene11840
gene8638	gene9196	gene12376				gene11753	gene11845
gene8640	gene9237	gene12396				gene11759	gene11848
gene8641	gene9245	gene12404				gene11822	gene11907
gene8649	gene9280	gene12429				gene11834	gene11981
gene8656	gene9287	gene12438				gene11840	gene11997
gene8683	gene9288	gene12446				gene11845	gene12011
gene8716	gene9301	gene12457				gene11911	gene12017
gene8773	gene9321	gene12477				gene11928	gene12023
gene8778	gene9325	gene12489				gene11942	gene12035
gene8791	gene9354	gene12534				gene11981	gene12042
gene8816	gene9366	gene12547				gene11997	gene12052
gene8833	gene9382	gene12619				gene12011	gene12094
gene8849	gene9398	gene12652				gene12022	gene12105
gene8852	gene9401	gene12677				gene12035	gene12115
gene8871	gene9404	gene12707				gene12042	gene12121
gene8892	gene9442	gene12717				gene12052	gene12133
gene8893	gene9461	gene12718				gene12082	gene12191
gene8900	gene9467	gene12743				gene12094	gene12206
gene8909	gene9475	gene12746				gene12105	gene12217
gene8910	gene9583	gene12757				gene12121	gene12226
gene8925	gene9628	gene12769				gene12131	gene12255
gene8941	gene9664	gene12817				gene12193	gene12268
gene8960	gene9680	gene12822				gene12206	gene12284
gene8974	gene9695	gene12860				gene12217	gene12299
gene8975	gene9704	gene12873				gene12226	gene12304
gene9013	gene9719	gene12887				gene12255	gene12356
gene9032	gene9744					gene12262	gene12376
gene9040	gene9750					gene12263	gene12387
gene9047	gene9754					gene12268	gene12396
gene9061	gene9762					gene12285	gene12401
gene9074	gene9766					gene12311	gene12411
gene9090	gene9788					gene12356	gene12429
gene9112	gene9837					gene12370	gene12446
gene9113	gene9845					gene12376	gene12477
gene9117	gene9857					gene12383	gene12489
gene9153	gene9860					gene12396	gene12513
gene9158	gene9891					gene12404	gene12520
